product_id,product_name,category,category_id,cost,sale_price,supplier,supplier_id,warehouse,images_url
PID_0101,Klipsch Reference R-50M,Computer accessories,CID_10,250,399,Klipsch,SID_0493,WH-MAIN,https://m.media-amazon.com/images/I/51uavOo38hL._AC_SL1500_.jpg
PID_0102,Polk Audio Signa S4,Speakers,CID_07,300,399,Polk Audio,SID_0703,WH-MAIN,https://m.media-amazon.com/images/I/616BI7nIFIL._AC_SL1500_.jpg
PID_0103,Bowers & Wilkins Px8,Headphones,CID_05,550,699,Bowers & Wilkins,SID_0136,WH-MAIN,https://m.media-amazon.com/images/I/51PpBEMvEaL._AC_SL1500_.jpg
PID_0104,Denon AVR-X2800H,Computer accessories,CID_10,900,1199,Denon,SID_0247,WH-MAIN,https://m.media-amazon.com/images/I/61eVFGHhWlL._AC_SL1500_.jpg
PID_0105,Marantz Cinema 50,Computer accessories,CID_10,2000,2500,Marantz,SID_0543,WH-MAIN,https://m.media-amazon.com/images/I/716DGgiBNdL._AC_SL1500_.jpg
PID_0106,Yamaha HS8 Studio Monitor,Speakers,CID_07,300,399,Yamaha Corporation,SID_0983,WH-MAIN,https://m.media-amazon.com/images/I/81d94EqS5hL._AC_SL1500_.jpg
PID_0107,Pioneer DJ DDJ-FLX4,Computer accessories,CID_10,250,299,Pioneer Corporation,SID_0692,WH-MAIN,https://m.media-amazon.com/images/I/91LTD7k0tZL._AC_SL1500_.jpg
PID_0108,Onkyo TX-NR6100,Computer accessories,CID_10,600,799,Onkyo,SID_0655,WH-MAIN,https://m.media-amazon.com/images/I/51Nzd6al-IL._AC_SL1500_.jpg
PID_0109,Epson EcoTank ET-4850,Computer accessories,CID_10,400,499,Epson,SID_0297,WH-MAIN,https://m.media-amazon.com/images/I/71kUHumYlNL._AC_SL1500_.jpg
PID_0110,Brother HL-L2390DW,Computer accessories,CID_10,150,199,Brother Industries,SID_0144,WH-MAIN,https://m.media-amazon.com/images/I/612PdpuhqyL._AC_SL1500_.jpg
PID_0111,Lexmark MC3326i,Computer accessories,CID_10,300,399,Lexmark,SID_0515,WH-MAIN,https://m.media-amazon.com/images/I/61C4y1tw7ZL._AC_SL1500_.jpg
PID_0112,Xerox VersaLink C400,Computer accessories,CID_10,400,549,Xerox,SID_0976,WH-MAIN,https://m.media-amazon.com/images/I/81w0E-lup1L._AC_SL1500_.jpg
PID_0113,Ricoh GR IIIx,Computer accessories,CID_10,900,1049,Ricoh,SID_0742,WH-MAIN,https://m.media-amazon.com/images/I/81sJc3nJtdL._AC_SL1500_.jpg
